,Wage
Wage,1.0
Value,0.8562781350525682
Release.Clause,0.8505634548275414
Club_Value,0.7277567466429995
International.Reputation,0.6701574996286322
Overall,0.6630327468393401
Reactions,0.5352335258989303
Potential,0.5075673033346275
Composure,0.47264124767546184
Special,0.4542754143236426
ShortPassing,0.4338596809676923
BallControl,0.4334184698030942
LongPassing,0.31221515044281994
Vision,0.3115008744698356
Dribbling,0.3104429545476605
ShotPower,0.29447116845513127
Skill.Moves,0.27662173274325846
Curve,0.2748873463034098
Volleys,0.26802041151543476
LongShots,0.26096017170550884
